id1	id2	tag	tag_counts	selfpairs
YDR330W	YMR043W	YDR330W_YMR043W	1	0
YAR002W	YOL131W	YAR002W_YOL131W	1	0
YBR039W	YKR054C	YBR039W_YKR054C	1	0
YDL239C	YDR249C	YDL239C_YDR249C	1	0
YGR119C	YKR026C	YGR119C_YKR026C	1	0
YBR119W	YJR090C	YBR119W_YJR090C	1	0
YOR027W	YOR102W	YOR027W_YOR102W	1	0
YDR427W	YOR265W	YDR427W_YOR265W	1	0
YJR055W	YMR049C	YJR055W_YMR049C	1	0
YBR114W	YLR384C	YBR114W_YLR384C	1	0
YJL053W	YKR091W	YJL053W_YKR091W	1	0
YCL032W	YHR016C	YCL032W_YHR016C	1	0
YDL108W	YGL226C-A	YDL108W_YGL226C-A	1	0
YBR039W	YDR394W	YBR039W_YDR394W	1	0
YNL092W	YPL208W	YNL092W_YPL208W	1	0
YDR292C	YKL204W	YDR292C_YKL204W	1	0
YBL071C	YIL048W	YBL071C_YIL048W	1	0
YBL026W	YDL181W	YBL026W_YDL181W	1	0
YCR086W	YPR058W	YCR086W_YPR058W	1	0
YER012W	YPR162C	YER012W_YPR162C	1	0
YCL032W	YOR080W	YCL032W_YOR080W	1	0
YLR074C	YLR224W	YLR074C_YLR224W	1	0
YBR241C	YML042W	YBR241C_YML042W	1	0
YDR037W	YIL108W	YDR037W_YIL108W	1	0
YER053C	YHR152W	YER053C_YHR152W	1	0
YGR113W	YLR447C	YGR113W_YLR447C	1	0
YJR115W	YPL003W	YJR115W_YPL003W	1	0
YBR289W	YNL131W	YBR289W_YNL131W	1	0
YLR423C	YPR077C	YLR423C_YPR077C	1	0
YJR091C	YOR344C	YJR091C_YOR344C	1	0
YGR249W	YKL007W	YGR249W_YKL007W	1	0
YDR298C	YHR114W	YDR298C_YHR114W	1	0
YDL140C	YPR086W	YDL140C_YPR086W	1	0
YIR005W	YOR299W	YIR005W_YOR299W	1	0
YLR386W	YOR158W	YLR386W_YOR158W	1	0
YCL036W	YIL051C	YCL036W_YIL051C	1	0
YHR171W	YNL118C	YHR171W_YNL118C	1	0
YDR078C	YJR082C	YDR078C_YJR082C	1	0
YGR178C	YNL092W	YGR178C_YNL092W	1	0
YDR389W	YDR533C	YDR389W_YDR533C	1	0
